Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds
5-Jun-15,18:10,Fremantle,Richmond,Domain Stadium,70,97,,10,10,15,7,1.22,4.27
31-May-15,14:40,West Coast,Geelong,Domain Stadium,120,64,,16,24,10,4,1.45,2.75
31-May-15,15:20,Collingwood,North Melbourne,MCG,112,95,,17,10,14,11,1.89,1.92
31-May-15,13:10,Brisbane,St Kilda,Gabba,86,108,,13,8,16,12,1.63,2.28
30-May-15,19:10,Adelaide,Fremantle,Adelaide Oval,57,68,,7,15,10,8,3.58,1.3
30-May-15,19:25,Richmond,Essendon,MCG,72,59,,10,12,8,11,1.78,2.04
30-May-15,16:35,Western Bulldogs,GWS Giants,Etihad Stadium,113,68,,16,17,11,2,2.64,1.49
30-May-15,13:40,Melbourne,Port Adelaide,Traeger Park,54,115,,8,6,18,7,2.74,1.46
30-May-15,13:45,Hawthorn,Gold Coast,Aurora Stadium,93,40,,14,9,6,4,1.01,16.13
29-May-15,19:50,Sydney,Carlton,SCG,122,62,,19,8,9,8,1.02,15.07
24-May-15,16:10,Port Adelaide,Richmond,Adelaide Oval,43,76,,5,13,11,10,1.34,3.3
24-May-15,15:20,Melbourne,Western Bulldogs,MCG,103,64,,15,13,9,10,3.06,1.38
24-May-15,13:10,Essendon,Brisbane,Etihad Stadium,136,78,,21,10,12,6,1.22,4.39
23-May-15,17:40,Fremantle,North Melbourne,Domain Stadium,115,42,,17,13,5,12,1.2,4.61
23-May-15,19:20,Hawthorn,Sydney,MCG,69,73,,9,15,11,7,1.49,2.65
23-May-15,16:35,Gold Coast,Collingwood,Metricon Stadium,63,132,,9,9,20,12,3.7,1.29
23-May-15,14:10,GWS Giants,Adelaide,Spotless Stadium,108,84,,16,12,12,12,1.49,2.62
23-May-15,13:45,St Kilda,West Coast,Etihad Stadium,78,131,,12,6,20,11,5.03,1.18
22-May-15,19:50,Geelong,Carlton,Etihad Stadium,140,63,,22,8,9,9,1.23,4.21
17-May-15,16:40,Brisbane,Port Adelaide,Gabba,102,65,,15,12,8,17,4.61,1.2
17-May-15,15:20,Richmond,Collingwood,MCG,105,100,,16,9,15,10,1.97,1.83
17-May-15,13:10,Western Bulldogs,Fremantle,Etihad Stadium,88,101,,14,4,15,11,3.81,1.27
16-May-15,17:40,West Coast,Gold Coast,Domain Stadium,135,43,,21,9,6,7,1.1,7.05
16-May-15,19:20,Sydney,Geelong,ANZ Stadium,120,77,,18,12,11,11,1.21,4.42
16-May-15,16:35,Carlton,GWS Giants,Etihad Stadium,57,135,,9,3,19,21,2.55,1.51
16-May-15,14:10,Hawthorn,Melbourne,MCG,155,50,,24,11,7,8,1.08,7.9
16-May-15,13:15,Adelaide,St Kilda,Adelaide Oval,119,73,,18,11,10,13,1.22,4.36
15-May-15,19:50,Essendon,North Melbourne,Etihad Stadium,82,93,,12,10,13,15,2.88,1.42
10-May-15,16:10,Port Adelaide,West Coast,Adelaide Oval,68,78,,10,8,11,12,1.24,4.21
10-May-15,15:20,Carlton,Brisbane,Etihad Stadium,75,84,,11,9,12,12,1.31,3.53
9-May-15,18:10,Fremantle,Essendon,Domain Stadium,80,52,,12,8,7,10,1.2,4.68
9-May-15,19:20,Melbourne,Sydney,MCG,50,88,,7,8,12,16,5.22,1.17
9-May-15,17:10,Gold Coast,Adelaide,Metricon Stadium,78,119,,11,12,18,11,5.24,1.17
9-May-15,16:35,GWS Giants,Hawthorn,Spotless Stadium,108,98,,16,12,14,14,3.71,1.28
9-May-15,14:10,Western Bulldogs,St Kilda,Etihad Stadium,87,94,,13,9,14,10,1.45,2.73
9-May-15,13:45,North Melbourne,Richmond,Blundstone Arena,109,74,,16,13,10,14,1.59,2.35
8-May-15,19:50,Collingwood,Geelong,MCG,59,100,,8,11,15,10,1.58,2.38
3-May-15,16:10,Adelaide,Port Adelaide,Adelaide Oval,91,115,,13,13,18,7,2.28,1.63
3-May-15,15:20,St Kilda,Essendon,Etihad Stadium,80,82,,11,14,11,16,5.64,1.14
3-May-15,13:10,Melbourne,Fremantle,MCG,50,118,,6,14,18,10,5.2,1.17
2-May-15,17:40,West Coast,GWS Giants,Domain Stadium,120,33,,18,12,4,9,1.67,2.22
2-May-15,19:20,North Melbourne,Hawthorn,Etihad Stadium,70,130,,10,10,19,16,3.32,1.33
2-May-15,16:35,Gold Coast,Brisbane,Metricon Stadium,118,54,,18,10,7,12,2.08,1.76
2-May-15,14:10,Sydney,Western Bulldogs,SCG,73,77,,10,13,11,11,1.15,5.36
2-May-15,13:45,Richmond,Geelong,MCG,76,85,,11,10,12,13,1.63,2.28
1-May-15,19:50,Carlton,Collingwood,MCG,45,120,,6,9,18,12,2.41,1.58
26-Apr-15,16:40,Western Bulldogs,Adelaide,Etihad Stadium,125,68,,18,17,10,8,3.59,1.29
26-Apr-15,15:20,Geelong,North Melbourne,Simonds Stadium,67,83,,9,13,12,11,2.26,1.63
26-Apr-15,13:10,Brisbane,West Coast,Gabba,65,118,,9,11,17,16,2.7,1.46
25-Apr-15,18:45,Fremantle,Sydney,Domain Stadium,74,60,,11,8,8,12,1.6,2.36
25-Apr-15,19:10,Port Adelaide,Hawthorn,Adelaide Oval,99,91,,15,9,13,13,2.43,1.56
25-Apr-15,17:40,GWS Giants,Gold Coast,StarTrack Oval Canberra,119,53,,16,23,7,11,1.39,2.97
25-Apr-15,14:40,Essendon,Collingwood,MCG,49,69,,6,13,9,15,1.41,2.91
25-Apr-15,13:10,St Kilda,Carlton,Westpac Stadium,81,121,,12,9,18,13,3.14,1.36
24-Apr-15,19:50,Richmond,Melbourne,MCG,51,83,,6,15,12,11,1.31,3.46
19-Apr-15,14:40,West Coast,Fremantle,Domain Stadium,81,111,,12,9,17,9,3.88,1.27
19-Apr-15,15:20,Geelong,Gold Coast,Simonds Stadium,105,96,,16,9,13,18,1.17,5.2
19-Apr-15,13:10,Hawthorn,Western Bulldogs,Aurora Stadium,127,57,,19,13,8,9,1.06,9.69
18-Apr-15,19:20,Brisbane,Richmond,Gabba,58,137,,8,10,21,11,2.72,1.46
18-Apr-15,19:20,North Melbourne,Port Adelaide,Etihad Stadium,105,113,,16,9,17,11,1.9,1.9
18-Apr-15,16:35,Sydney,GWS Giants,SCG,111,90,,16,15,12,18,1.16,5.4
18-Apr-15,13:40,Adelaide,Melbourne,Adelaide Oval,80,55,,12,8,7,13,1.08,8.24
18-Apr-15,13:45,Carlton,Essendon,MCG,84,105,,11,18,16,9,3.83,1.27
17-Apr-15,19:50,Collingwood,St Kilda,MCG,140,66,,21,14,10,6,1.4,2.98
12-Apr-15,16:40,North Melbourne,Brisbane,Etihad Stadium,133,51,,20,13,7,9,1.14,5.78
12-Apr-15,15:20,Essendon,Hawthorn,MCG,78,76,,12,6,11,10,4.65,1.2
12-Apr-15,13:10,Geelong,Fremantle,Simonds Stadium,60,104,,9,6,15,14,2.26,1.65
11-Apr-15,19:10,Port Adelaide,Sydney,Adelaide Oval,44,92,,6,8,14,8,1.61,2.34
11-Apr-15,19:20,Gold Coast,St Kilda,Metricon Stadium,76,104,,10,16,16,8,1.19,4.85
11-Apr-15,16:35,Collingwood,Adelaide,Etihad Stadium,63,90,,9,9,12,18,2.95,1.41
11-Apr-15,14:10,GWS Giants,Melbourne,StarTrack Oval Canberra,101,56,,15,11,8,8,1.45,2.77
11-Apr-15,13:45,Richmond,Western Bulldogs,MCG,66,85,,9,12,12,13,1.35,3.26
10-Apr-15,18:10,West Coast,Carlton,Domain Stadium,131,62,,20,11,9,8,1.53,2.54
6-Apr-15,15:20,Hawthorn,Geelong,MCG,123,61,,17,21,8,13,1.36,3.16
5-Apr-15,14:50,Adelaide,North Melbourne,Adelaide Oval,140,63,,21,14,9,9,1.7,2.14
5-Apr-15,13:10,St Kilda,GWS Giants,Etihad Stadium,78,87,,11,12,12,15,3.43,1.32
5-Apr-15,16:40,Fremantle,Port Adelaide,Domain Stadium,75,68,,11,9,10,8,1.67,2.22
4-Apr-15,18:20,Brisbane,Collingwood,Gabba,74,86,,11,8,12,14,1.48,2.67
4-Apr-15,19:20,Western Bulldogs,West Coast,Etihad Stadium,97,87,,14,13,14,3,2.52,1.53
4-Apr-15,16:35,Sydney,Essendon,ANZ Stadium,72,60,,10,12,9,6,1.31,3.49
4-Apr-15,13:40,Melbourne,Gold Coast,MCG,115,89,,17,13,13,11,2.97,1.41
2-Apr-15,19:20,Carlton,Richmond,MCG,78,105,,11,12,15,15,2.53,1.53
27-Sep-14,14:30,Sydney,Hawthorn,MCG,74,137,Y,11,8,21,11,1.57,2.41
20-Sep-14,16:45,Hawthorn,Port Adelaide,MCG,97,94,Y,15,7,13,16,1.33,3.38
19-Sep-14,19:50,Sydney,North Melbourne,ANZ Stadium,136,65,Y,19,22,9,11,1.21,4.39
13-Sep-14,17:45,Fremantle,Port Adelaide,Domain Stadium,83,105,Y,11,17,15,15,1.59,2.34
12-Sep-14,19:50,Geelong,North Melbourne,MCG,92,98,Y,13,14,14,14,1.76,2.07
7-Sep-14,14:50,Port Adelaide,Richmond,Adelaide Oval,132,75,Y,20,12,11,9,1.41,2.88
6-Sep-14,19:15,North Melbourne,Essendon,MCG,93,81,Y,14,9,12,9,1.68,2.19
6-Sep-14,14:45,Sydney,Fremantle,ANZ Stadium,93,69,Y,13,15,10,9,1.39,3.04
5-Sep-14,19:50,Hawthorn,Geelong,MCG,104,68,Y,15,14,10,8,1.47,2.67
31-Aug-14,16:40,Western Bulldogs,GWS Giants,Etihad Stadium,109,115,,15,19,18,7,1.25,4
31-Aug-14,14:50,Adelaide,St Kilda,Adelaide Oval,141,62,,22,9,9,8,1.04,11.16
31-Aug-14,13:10,Gold Coast,West Coast,Metricon Stadium,99,151,,15,9,23,13,2.36,1.59
30-Aug-14,19:40,Geelong,Brisbane,Simonds Stadium,143,81,,21,17,12,9,1.1,7.65
30-Aug-14,19:40,North Melbourne,Melbourne,Etihad Stadium,123,93,,19,9,14,9,1.08,8.03
30-Aug-14,16:40,Sydney,Richmond,ANZ Stadium,65,68,,9,11,10,8,1.43,2.86
30-Aug-14,13:10,Fremantle,Port Adelaide,Domain Stadium,105,97,,16,9,14,13,1.46,2.72
30-Aug-14,14:45,Carlton,Essendon,MCG,90,90,,14,6,13,12,3.06,1.38
29-Aug-14,19:50,Collingwood,Hawthorn,MCG,56,121,,8,8,18,13,9.05,1.07
24-Aug-14,16:40,Richmond,St Kilda,MCG,98,72,,15,8,10,12,1.11,6.86
24-Aug-14,15:20,Western Bulldogs,Sydney,Etihad Stadium,67,130,,9,13,20,10,5.29,1.16
24-Aug-14,13:10,Brisbane,Fremantle,Gabba,48,106,,6,12,15,16,3.33,1.33
23-Aug-14,19:40,Hawthorn,Geelong,MCG,94,71,,14,10,11,5,1.51,2.57
23-Aug-14,17:40,West Coast,Melbourne,Domain Stadium,119,53,,18,11,8,5,1.04,11.9
23-Aug-14,16:40,GWS Giants,Collingwood,Spotless Stadium,67,75,,9,13,11,9,2.36,1.59
23-Aug-14,14:10,Essendon,Gold Coast,Etihad Stadium,108,89,,16,12,13,11,1.16,5.31
23-Aug-14,13:45,North Melbourne,Adelaide,Blundstone Arena,101,94,,14,17,13,16,1.85,1.97
22-Aug-14,19:20,Port Adelaide,Carlton,Adelaide Oval,140,37,,20,20,5,7,1.27,3.78
17-Aug-14,14:40,Fremantle,Hawthorn,Domain Stadium,110,91,,17,8,13,13,1.82,1.99
17-Aug-14,15:20,Melbourne,GWS Giants,MCG,34,98,,3,16,15,8,1.43,2.84
17-Aug-14,13:10,North Melbourne,Western Bulldogs,Etihad Stadium,111,61,,17,9,8,13,1.35,3.22
16-Aug-14,19:10,Adelaide,Richmond,Adelaide Oval,69,79,,9,15,10,19,1.46,2.71
16-Aug-14,19:40,Collingwood,Brisbane,MCG,56,123,,8,8,18,15,1.15,5.4
16-Aug-14,16:40,Essendon,West Coast,Etihad Stadium,77,74,,11,11,11,8,1.56,2.44
16-Aug-14,14:10,Gold Coast,Port Adelaide,Metricon Stadium,47,56,,7,5,7,14,3.16,1.36
16-Aug-14,13:45,Sydney,St Kilda,SCG,127,56,,19,13,8,8,1.01,17.61
15-Aug-14,19:50,Carlton,Geelong,Etihad Stadium,76,82,,11,10,11,16,2.74,1.45
10-Aug-14,14:40,West Coast,Collingwood,Domain Stadium,126,66,,19,12,10,6,1.71,2.15
10-Aug-14,15:20,St Kilda,Western Bulldogs,Etihad Stadium,99,122,,15,9,18,14,3.45,1.32
10-Aug-14,13:10,Brisbane,Adelaide,Gabba,63,168,,9,9,25,18,2.89,1.43
9-Aug-14,19:40,Geelong,Fremantle,Simonds Stadium,81,79,,12,9,11,13,1.46,2.75
9-Aug-14,19:10,Port Adelaide,Sydney,Adelaide Oval,58,84,,7,16,12,12,3.05,1.38
